Planet Name,Global ESI,Long-term Stability,Atmospheric Retention,Habitability Index,Rank,Habitability_Category
Kepler-1644 b,0.4166219245590695,1.0,0.0260976052470939,0.5135304833289536,1233.0,Non-Habitable
Kepler-347 d,0.4143508306015429,1.0,0.0313409221682386,0.5134435997344192,1234.0,Non-Habitable
KIC 5437945 b,0.4102022242277351,1.0,0.0416009151429488,0.5134212951424573,1235.0,Non-Habitable
Kepler-802 b,0.4134838384066146,1.0,0.0332407549485591,0.5133900701930192,1236.0,Non-Habitable
TOI-1246 e,0.4125526025819869,0.9999999999898088,0.0353250159613092,0.513341304480198,1237.0,Non-Habitable
Kepler-1564 b,0.4170055121338937,1.0,0.0237730379559617,0.5132573636581392,1238.0,Non-Habitable
HD 164922 e,0.4134162974828309,0.9999972357272076,0.0320870926901722,0.5131247379976122,1239.0,Non-Habitable
GJ 486 b,0.4156610466009546,0.999999878413059,0.025525119238264,0.5129355106720478,1240.0,Non-Habitable
Kepler-298 b,0.4152314853662564,1.0,0.0265150076681568,0.5129187442167596,1241.0,Non-Habitable
HD 142022 A b,0.34721903597106,0.9997822233441316,0.1967510797127062,0.5128944009313108,1242.0,Non-Habitable
HD 222076 b,0.3815729030811812,0.9999794690563338,0.1103881829805306,0.5128579288535969,1243.0,Non-Habitable
HD 134606 c,0.4126113316914812,0.9999976806624876,0.0326115373574053,0.5128272775159679,1244.0,Non-Habitable
Kepler-1775 b,0.4119644503527849,1.0,0.0335587979780007,0.5126939847719926,1245.0,Non-Habitable
6 Lyn b,0.3767883023791613,0.9999880550296604,0.1213343772163988,0.5126574431417585,1246.0,Non-Habitable
Kepler-1155 b,0.4144434568554327,1.0,0.0268775879525311,0.5125972460182225,1247.0,Non-Habitable
Kepler-357 c,0.4132046729828659,1.0,0.0298284336184213,0.5125680232151172,1248.0,Non-Habitable
Kepler-1354 b,0.4124687385252003,1.0,0.0310480952708922,0.5124439883167786,1249.0,Non-Habitable
Kepler-252 c,0.4138966885501485,1.0,0.027470407594892,0.5124424257940526,1250.0,Non-Habitable
Kepler-1391 b,0.4147852104931352,1.0,0.0249882407852268,0.512390253403613,1251.0,Non-Habitable
TOI-712 b,0.4137439590650922,0.9999939962135554,0.0269521894065088,0.5122606162779145,1252.0,Non-Habitable
Kepler-124 c,0.4143350416024414,1.0,0.0253822781241033,0.5122439764260414,1253.0,Non-Habitable
K2-57 b,0.4135255889396722,0.9999999999978576,0.0272133189450779,0.512205458258209,1254.0,Non-Habitable
Kepler-892 b,0.4122453950357932,1.0,0.0304106054444659,0.5122048186067898,1255.0,Non-Habitable
K2-387 b,0.4067145720361215,0.9999999999937568,0.0437373890883513,0.5121047638338581,1256.0,Non-Habitable
HD 160691 c,0.3464753265647936,0.9999423976608188,0.1943545137055276,0.5120912853217479,1257.0,Non-Habitable
Kepler-659 b,0.4122688032922706,1.0,0.0290709897422137,0.5119485995945781,1258.0,Non-Habitable
Kepler-351 b,0.4146784893320436,1.0,0.0224281210048285,0.5118248688669874,1259.0,Non-Habitable
HD 218566 b,0.4042328409274277,0.9999709705919476,0.0481494818016954,0.5117376080016371,1260.0,Non-Habitable
Kepler-244 d,0.4054784955691515,1.0,0.044908823523584,0.5117210124892926,1261.0,Non-Habitable
Kepler-1316 b,0.4100857982468593,1.0,0.0332196670933491,0.5116868325420996,1262.0,Non-Habitable
HD 134987 b,0.378551652626083,0.9999738735327528,0.1120582261808642,0.5116796336090402,1263.0,Non-Habitable
Kepler-859 b,0.4106453808364255,1.0,0.0315198314850833,0.5116266567152294,1264.0,Non-Habitable
Kepler-1737 b,0.4075877951895343,1.0,0.0389443783820579,0.5115827732711787,1265.0,Non-Habitable
KOI-1257 b,0.3755408447459861,0.999958643050472,0.1190976510010761,0.5115775454883498,1266.0,Non-Habitable
K2-212 b,0.4111757491140462,0.9999999999976874,0.0297238712679971,0.5115326488099288,1267.0,Non-Habitable
Kepler-1090 c,0.4099308350149624,1.0,0.0323451612981043,0.5114344497671022,1268.0,Non-Habitable
K2-91 b,0.4149724942980387,0.9999997930076991,0.0192380167022545,0.5113337883917799,1269.0,Non-Habitable
HD 181342 b,0.366119376195658,0.999995088280253,0.1413544466354801,0.5113291039090009,1270.0,Non-Habitable
V1298 Tau e,0.3761224342409925,0.9999753796962432,0.1162599357968076,0.5113058181887307,1271.0,Non-Habitable
HD 45350 b,0.3745088732407819,0.9997905170600362,0.1204301144075918,0.5112776146199202,1272.0,Non-Habitable
HD 113337 c,0.2520654406589963,0.999843490821378,0.4263000032476681,0.5112457682254452,1273.0,Non-Habitable
HD 19994 b,0.3811142327199857,0.9999884702764104,0.1032104300296144,0.5111957434488389,1274.0,Non-Habitable
Kepler-877 b,0.4111980026362085,1.0,0.0272925231780384,0.5110575059537119,1275.0,Non-Habitable
