P_NAME,P_MASS,P_RADIUS,P_DISTANCE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_HABITABLE,P_DENSITY,S_TEMPERATURE,S_MASS,S_RADIUS,S_LUMINOSITY
HD 110113 b,4.55,2.05,0.035151358,2.541,0.035,0.093,1.4898027,2.2195122,1.0826889,761.64078,1336.0736,1508.8852,0,0.52814091,5732.0,1.0,0.97,0.92896639
55 Cnc f,44.812,7.59,0.77326656,259.88,0.7708,0.08,2.4298322,5.9040843,0.77787672,1.0727803,258.9434,293.4519664,0,0.10248705,5172.0,0.91,0.94,0.63533093
HATS-22 b,870.8542,10.682,0.050406805,4.7228124,0.05025,0.079,9.0291411,81.525389,7.6320341,89.760927,783.18073,868.01608008,0,0.71447614,4803.0,0.76,0.69,0.22594358
TOI-837 b,381.396,8.631,0.083464306,8.3248762,0.083464306,0.0,6.6474872,44.189086,5.1198107,157.76056,902.81614,999.13648944,0,0.59318858,6047.0,1.12,1.02,1.0990058
NGTS-6 b,425.57437,14.863,0.01677,0.882059,0.01677,0.0,5.3509944,28.633141,1.9264711,909.77474,1399.0498,1543.0085808,0,0.12961523,4730.0,0.77,0.75,0.25585859
LP 791-18 c,7.1,2.438,0.02961,4.9899093,0.02961,8e-05,1.7065237,2.9122231,1.1945132,2.624963,324.25039,366.18986,0,0.48995619,2960.0,0.14,0.18,0.0023014418
WASP-14 b,2809.6172,15.468,0.03714985,2.24375,0.037,0.09,13.477412,181.64063,11.742994,1960.4809,1692.4994,1864.6293424,0,0.75917983,6475.0,1.62,1.4,2.6730064
WASP-99 b,772.3269,11.433,0.0717,5.75251,0.0717,0.0,8.2190284,67.552427,5.9085478,679.14372,1300.4394,1434.9315824000005,0,0.51679767,6150.0,1.21,1.64,3.4914032
Kepler-396 c,17.9,5.3,0.378,88.505,0.378,0.0,1.8377591,3.3773585,0.63723745,5.1288075,383.35736,429.80966656,0,0.12023348,5565.0,0.85,1.06,0.73282453
WASP-88 b,133.4886,16.365,0.06431,4.954,0.06431,0.0,2.8560387,8.1569569,0.49843916,1280.6869,1523.914,1679.8597440000003,0,0.030457633,6430.0,0.94,1.8,5.2966344
HATS-2 b,427.463,13.092,0.023,1.354133,0.023,0.0,5.7140793,32.650703,2.4939431,1019.8689,1439.58,1587.4296800000002,0,0.19049367,5227.0,0.88,0.9,0.53951062
KELT-23 A b,298.12454,14.83,0.03302,2.255251,0.03302,0.0,4.4836147,20.102801,1.3555496,991.84969,1429.5889,1576.4794344000002,0,0.091405909,5899.0,0.94,1.0,1.081434
WASP-180 A b,286.047,13.899,0.048,3.409264,0.048,0.0,4.5365627,20.580401,1.4807109,896.43236,1393.8919,1537.3555224000004,0,0.10653363,6600.0,1.3,1.19,2.0653802
TOI-1201 b,6.28,2.415,0.0287,2.4919863,0.0287,0.0,1.6125799,2.6004141,1.076776,41.232171,645.5186,729.01182,0,0.44586999,3476.0,0.51,0.51,0.033962527
HAT-P-30 b,263.7989,16.141,0.04193352,2.8106,0.0419,0.04,4.0426977,16.343405,1.0125398,1169.2831,1489.187,1641.798952,0,0.062730922,6304.0,1.55,1.31,2.0511622
